ep_rewardMean,ValueLoss,TotalTimesteps
240,344.52545,11264
272,76.43106,22528
257,1070.4142,33792
298,88.926125,45056
326,60.599163,56320
335,103.45243,67584
358,318.42993,78848
387,552.3405,90112
413,224.7921,101376
470,213.89426,112640
516,312.3701,123904
572,4029.6304,135168
595,149.46501,146432
603,1196.6147,157696
610,1737.1937,168960
595,661.1052,180224
598,227.07666,191488
603,2330.941,202752
627,323.86536,214016
662,216.00868,225280
696,335.00424,236544
702,4959.946,247808
712,105.0303,259072
690,349.13037,270336
619,2193.2026,281600
615,834.3511,292864
574,1471.5569,304128
580,119.13896,315392
573,66.75934,326656
555,373.74823,337920
469,1136.7618,349184
487,61.431244,360448
482,334.45755,371712
539,72.11005,382976
553,239.46486,394240
622,75.65405,405504
627,573.06055,416768
660,480.09485,428032
654,509.84735,439296
697,258.71637,450560
743,609.82355,461824
734,404.10883,473088
758,929.8966,484352
833,1357.5265,495616
876,1256.7456,506880
912,455.89877,518144
948,247.38068,529408
956,140.99194,540672
930,309.1619,551936
982,413.79294,563200
995,170.18909,574464
979,2043.371,585728
996,859.3304,596992
1110,4448.859,608256
1150,485.60138,619520
984,459.82004,630784
862,155.42302,642048
778,262.49933,653312
627,1438.293,664576
510,108.80725,675840
505,19577.076,687104
584,547.3616,698368
592,1989.2023,709632
604,315.00134,720896
600,264.52792,732160
600,81.41265,743424
591,685.6199,754688
672,450.21655,765952
707,338.29794,777216
742,296.99017,788480
805,111.6292,799744
767,343.85938,811008
687,242.76689,822272
572,82.238914,833536
602,1250.6641,844800
543,64.501656,856064
556,185.57275,867328
554,162.83862,878592
585,189.71481,889856
588,105.14872,901120
601,101.520836,912384
592,1070.6837,923648
646,996.96094,934912
712,2719.063,946176
788,4879.816,957440
908,1806.1688,968704
996,5112.653,979968
1130,3612.7607,991232
1250,6914.8696,1002496
1370,5943.188,1013760
1390,1553.6235,1025024
1360,7121.858,1036288
1390,117.90022,1047552
1300,93.48511,1058816
1240,4622.8604,1070080
1260,4515.979,1081344
1380,2859.0166,1092608
1570,586.1051,1103872
1770,2671.06,1115136
2020,11862.929,1126400
2360,2928.1943,1137664
2580,13606.994,1148928
