reward,loss,timesteps
65.8,72.94551,1549
81.7,118.17949,3330
79.5,145.62321,5557
88.3,169.86595,7159
88.3,121.87478,9835
87.2,169.68909,11352
88.7,375.2116,13019
98.3,194.14613,15537
103,256.52277,17402
106,448.13818,19639
111,202.442,21924
108,230.86081,23692
107,659.255,25202
132,1472.8282,27895
139,1041.5903,29548
145,449.571,31636
159,2297.501,33816
164,536.00964,36184
172,3497.7246,37735
181,813.0327,39769
183,4246.3335,42068
189,1411.6896,44124
178,442.80032,46546
167,664.01514,48158
152,452.8712,50780
149,1196.3057,52067
138,252.2143,54607
119,189.25035,56870
106,353.38467,58476
109,708.46094,60689
105,480.54584,62560
107,253.84903,65110
113,1177.2125,67112
102,1012.1001,68569
120,488.26718,70765
126,1210.1688,72613
128,186.49683,74912
133,367.53284,76448
131,1227.981,79219
140,516.09906,80803
135,250.74605,82870
143,374.50223,84893
150,504.79617,87538
143,310.6139,89201
143,490.29193,91469
168,2371.4792,93560
170,908.5924,95013
171,482.76746,97540
174,1869.5781,99175
188,489.81006,101898
196,1393.6615,103836
185,4142.6587,105581
209,1418.7849,107769
211,620.9342,109360
203,894.49365,111469
193,870.8779,113684
177,546.9807,116142
180,509.8711,117848
174,495.48782,119609
172,586.8478,122113
164,691.7283,123846
177,2049.1648,125883
164,388.90668,128293
164,1940.0066,129539
182,382.34158,132340
170,1220.7499,133753
191,667.8015,136329
197,407.00085,138605
195,483.90042,140372
188,461.6267,142542
198,1704.5593,144568
200,525.2251,146122
199,682.8154,148102
219,714.0332,151064
211,1711.9265,152156
214,506.29688,154430
198,884.3618,156784
204,509.90094,158486
206,335.55322,160710
214,511.39868,163269
195,356.70483,165016
187,414.5918,166930
177,249.38263,168706
167,321.4989,171318
167,3025.4883,173409
175,471.16928,175196
159,272.6593,177388
162,292.47943,179077
168,303.86148,181809
164,288.97955,183631
159,173.3739,185412
148,432.6634,187483
156,850.84766,189540
136,475.96747,191294
144,252.93234,193838
145,383.97052,195368
136,1428.0883,197902
142,475.59354,199732
160,846.10376,202043
166,1178.8162,203872
177,1971.3782,205796
186,320.89603,208419
183,279.2536,209718
178,832.5282,211759
186,467.86414,214292
190,357.26898,215678
197,809.0888,217412
207,991.0508,220576
195,223.86638,222247
183,460.46375,224480
178,1116.8431,226238
179,4774.409,228163
197,345.0412,230017
208,1551.8179,232738
197,424.35016,234308
203,709.3085,236720
178,317.4657,238883
179,1455.7073,240797
197,611.3519,242920
213,4355.1685,245209
216,598.8677,246535
198,487.6233,249269
164,336.10852,251275
156,233.2173,253485
146,177.05832,255365
135,169.3342,257429
105,198.08243,259142
92.5,623.4981,260944
94.3,184.62135,263508
91.7,175.18353,265643
88.8,183.16074,267579
91.1,168.68274,269575
103,346.0907,271463
106,178.50516,273600
102,546.32513,274709
105,1263.5385,277476
110,538.1548,279987
120,833.6935,282215
122,1354.3331,283728
136,208.4414,286052
127,242.37787,287734
132,355.6109,290264
121,184.71042,291761
120,212.30835,294312
129,2659.1755,296465
126,313.7857,298626
118,212.51825,300439
110,246.3505,302719
114,491.49442,304280
120,929.6927,306327
128,416.0383,308350
132,365.34418,310196
122,197.81296,312181
111,159.7629,314669
116,380.41705,316832
116,227.12944,318747
116,449.55286,320756
112,789.4319,322507
112,268.9676,324804
120,1370.2478,326706
127,166.54367,328742
132,207.82782,330387
127,342.0247,332988
141,686.5966,335381
163,5721.1987,337020
165,516.41785,339222
174,6217.8936,341044
179,1254.7969,343257
171,734.21436,345485
158,639.5587,347261
163,361.20972,349907
158,440.90607,350960
160,1303.6365,353063
138,180.95216,355901
138,205.70065,357180
133,629.3465,359716
120,180.78882,361533
139,4166.4736,363772
143,404.14874,365893
138,262.51154,368079
141,1185.305,369635
147,270.10678,371817
147,1376.9333,373686
160,484.35852,375966
149,453.5617,377855
137,197.09929,379921
141,463.66055,382322
147,465.0841,384500
145,273.89493,386411
133,478.12726,388497
140,1436.8582,390221
140,2083.7024,391856
167,1715.9579,394334
172,364.01898,396948
168,339.8605,397929
171,558.7483,400759
167,254.22722,403115
166,377.11826,405083
166,1225.3768,406639
161,237.1987,408792
131,401.78134,410674
122,177.35512,413061
123,273.6559,414942
119,194.54639,416920
118,477.6362,418944
122,433.5584,420727
121,408.53436,422868
127,417.63986,425087
135,1267.4755,426868
144,443.99902,428747
147,299.51428,431452
149,20196.19,432791
185,1111.5565,435379
181,300.30426,437401
180,403.38327,439728
166,295.12674,441911
161,226.73564,443601
142,211.42914,445791
129,192.55809,447733
89.5,357.63354,450153
90.1,173.22272,451785
86.2,365.49182,453785
89.6,198.18216,456056
86.2,164.76453,458202
89.6,154.61292,460149
92.8,168.8544,462506
93.9,1307.0735,463984
108,278.80762,466085
107,191.021,467875
105,197.79082,470629
104,221.29907,472037
106,127.89465,474213
99.8,131.82906,476514
95.7,99.76597,478532
83.7,141.84099,480677
72.4,95.89366,482510
74.1,1168.8829,484557
76.6,120.32643,487065
72.4,168.57304,488774
78.8,145.91205,490919
83.3,252.59268,492653
89.2,329.6785,495103
92.5,166.97061,497164
92.2,110.98276,499057
86.6,126.01018,500648
97.6,414.39758,503343
96.9,221.36514,505390
96.8,173.49757,507285
94.3,149.13573,509180
91.5,153.82095,511474
97.1,355.99396,513218
96.1,348.91058,515659
94,206.50443,517524
96.1,272.3927,519430
108,392.2345,521734
104,135.6213,523922
106,167.86154,526036
104,160.31856,527789
100,152.88075,529864
105,313.5481,531898
104,234.61417,533888
109,304.64307,535925
103,202.0791,537800
110,225.69171,540153
111,1316.7583,541842
126,242.69211,544328
127,314.36304,545942
124,126.911644,548220
118,134.93404,550053
114,133.83282,552122
113,116.53047,554196
114,141.12906,555912
110,95.113174,558096
109,89.38326,560612
93.3,233.07265,562398
96.9,416.38528,564389
97.5,85.389435,566699
102,270.3463,568245
106,126.11418,570900
109,149.63895,572782
114,1388.8752,574616
122,590.98285,576916
126,230.69688,578739
130,405.00305,580970
139,228.35075,582924
134,170.66263,585275
127,240.63144,587012
130,990.83014,589075
133,216.18596,590866
125,566.6585,592694
132,250.62608,595042
128,326.1897,597440
121,577.16455,598850
145,6048.8745,600608
174,769.1676,603073
187,299.54105,604959
196,373.71298,607425
191,509.83618,609355
212,4404.979,611294
208,454.32184,613240
212,511.15997,615276
222,317.01672,616854
238,466.90167,619682
216,472.8405,621851
182,1296.3046,623598
181,568.0817,625627
185,1076.7446,627663
184,1138.5718,629358
206,5262.4844,631763
223,615.8374,633955
203,461.4666,636027
208,3223.937,638357
213,1396.782,640078
209,328.24207,642308
198,341.29953,644152
190,160.8526,646555
148,196.49211,648841
115,127.07034,650602
116,388.7458,652479
104,118.85879,654432
85.7,116.014626,656633
89.4,122.43053,658459
92.3,163.9172,660600
95.2,114.47529,662965
96.6,139.65143,664975
99.7,215.71794,666968
101,207.82385,669140
113,1224.4447,671117
118,642.5908,672486
137,293.95087,674645
156,381.80554,676873
158,1251.9102,679494
170,298.90366,681492
174,305.0539,683145
176,274.3784,685252
182,1602.9099,686273
192,249.03014,689559
190,415.7338,691236
174,418.22943,693719
172,258.9378,695542
164,1256.2854,697273
166,512.41473,699382
171,234.14642,702014
176,517.9708,703382
176,172.74329,705731
168,227.8512,707989
166,304.7924,709954
161,278.1669,712135
163,208.72754,714005
157,226.42459,715540
159,136.58496,718245
152,181.10129,720291
148,219.12718,722195
161,2009.1185,724182
170,779.6867,726608
170,449.70947,728135
171,274.85995,730378
181,393.1363,732245
178,377.1061,734272
185,532.2097,736646
178,256.16644,738404
164,244.91957,741050
160,4007.0354,742458
175,625.0587,744567
179,980.685,746204
184,409.68433,748118
181,1248.7415,750915
182,798.4158,752437
191,1305.7382,754697
190,273.64288,757047
193,173.68367,758731
190,380.63312,760528
200,941.1056,763233
184,325.82565,764749
185,311.15485,767008
173,296.64966,769153
169,430.5743,771009
166,88.1233,773011
154,199.04382,775421
154,257.4792,777223
158,287.80252,779430
160,196.84113,781881
158,139.5632,783038
153,422.26697,785496
152,110.86857,787740
159,273.18805,789731
153,298.96243,791619
162,202.91359,793769
164,272.15625,795861
