Reward,Loss,Timesteps
269,112.41741,11264
310,136.66534,22528
354,105.58184,33792
367,132.38768,45056
375,198.6596,56320
433,4184.9805,67584
457,71.359886,78848
482,115.18315,90112
495,518.3713,101376
514,70.71805,112640
535,229.82394,123904
530,319.7774,135168
537,196.49634,146432
539,349.46426,157696
568,134.91293,168960
599,4850.128,180224
642,299.0969,191488
679,1217.2867,202752
712,1363.2549,214016
736,308.10355,225280
728,690.0739,236544
703,621.094,247808
693,139.43,259072
701,307.5849,270336
748,417.26102,281600
719,784.2245,292864
712,332.7605,304128
683,530.33496,315392
660,1838.4663,326656
647,414.0571,337920
602,270.42294,349184
618,591.2551,360448
621,381.1017,371712
648,914.35925,382976
670,434.30878,394240
663,585.751,405504
667,304.8046,416768
634,270.00394,428032
624,370.02423,439296
606,168.71184,450560
592,250.15892,461824
578,277.30923,473088
567,6373.791,484352
601,136.20491,495616
598,297.45923,506880
584,275.49765,518144
555,503.66687,529408
536,747.60736,540672
530,481.07565,551936
477,1322.0511,563200
462,315.4764,574464
465,5125.605,585728
492,286.7046,596992
536,164.33481,608256
542,252.89435,619520
568,281.4665,630784
584,222.27066,642048
589,1299.487,653312
595,164.20462,664576
562,1834.4749,675840
582,273.37262,687104
594,515.0638,698368
618,387.18936,709632
610,259.20078,720896
606,314.4531,732160
612,1227.7991,743424
609,127.78359,754688
566,267.73425,765952
596,172.80418,777216
595,434.93832,788480
586,1472.9827,799744
602,374.33044,811008
612,316.9254,822272
628,442.6874,833536
595,880.65686,844800
617,320.18988,856064
652,615.96313,867328
653,500.2147,878592
663,199.55655,889856
681,364.09982,901120
683,451.45108,912384
654,2234.8137,923648
647,501.9949,934912
663,365.89215,946176
660,260.13916,957440
700,396.55383,968704
701,168.93095,979968
681,465.57712,991232
687,202.1211,1002496
668,194.5994,1013760
641,264.7194,1025024
596,337.54034,1036288
589,268.82886,1047552
579,183.42442,1058816
569,211.8219,1070080
548,173.96852,1081344
556,246.18274,1092608
554,312.17343,1103872
574,283.06152,1115136
577,256.68082,1126400
613,394.987,1137664
648,274.2238,1148928
649,112.28602,1160192
628,4315.139,1171456
629,170.92683,1182720
607,499.2479,1193984
577,210.49266,1205248
591,184.54227,1216512
601,205.93378,1227776
605,261.63757,1239040
612,224.78304,1250304
611,192.6302,1261568
599,453.84714,1272832
599,1318.0889,1284096
596,314.61017,1295360
593,527.03094,1306624
629,224.73431,1317888
636,399.95004,1329152
617,351.66977,1340416
600,309.4748,1351680
610,1225.867,1362944
602,263.43747,1374208
565,414.1549,1385472
582,158.66704,1396736
587,160.2156,1408000
592,435.8496,1419264
583,4285.0195,1430528
595,204.16434,1441792
623,354.8831,1453056
610,523.67957,1464320
628,422.12076,1475584
639,243.46106,1486848
621,587.7791,1498112
631,233.75734,1509376
610,283.21243,1520640
593,323.0651,1531904
553,398.91492,1543168
531,1363.4594,1554432
548,159.1068,1565696
526,179.0152,1576960
536,430.97388,1588224
557,1031.7965,1599488
582,191.66415,1610752
580,171.78992,1622016
584,229.72757,1633280
582,199.32489,1644544
622,732.4828,1655808
621,214.38058,1667072
640,1049.2026,1678336
693,1112.5544,1689600
705,347.23984,1700864
730,184.28583,1712128
711,269.19244,1723392
694,419.71698,1734656
719,486.8574,1745920
678,321.53656,1757184
654,428.21506,1768448
671,424.6302,1779712
668,658.2024,1790976
644,400.06702,1802240
619,283.7282,1813504
644,197.50992,1824768
663,175.53944,1836032
612,290.62302,1847296
607,215.65953,1858560
609,1116.2836,1869824
571,212.3364,1881088
541,1164.6882,1892352
550,124.68073,1903616
590,206.98325,1914880
605,769.89325,1926144
587,470.44305,1937408
575,253.79913,1948672
569,226.46483,1959936
558,659.66187,1971200
529,582.86865,1982464
529,1200.5675,1993728
535,360.12396,2004992
549,331.0519,2016256
549,464.24597,2027520
571,815.44653,2038784
560,309.671,2050048
564,260.50024,2061312
572,354.16434,2072576
551,403.0949,2083840
556,750.6531,2095104
550,290.5488,2106368
561,291.601,2117632
577,328.52365,2128896
586,260.0675,2140160
605,1258.325,2151424
637,210.33858,2162688
642,343.66272,2173952
644,344.37085,2185216
638,594.8075,2196480
642,331.65076,2207744
650,223.19118,2219008
613,4387.8496,2230272
618,1083.9438,2241536
596,182.96939,2252800
595,969.6554,2264064
610,174.40224,2275328
610,1354.7009,2286592
622,260.10522,2297856
625,309.6523,2309120
646,310.78552,2320384
653,222.54593,2331648
645,917.01013,2342912
653,348.39447,2354176
674,306.37827,2365440
683,824.1803,2376704
700,388.84222,2387968
746,5820.144,2399232
769,343.01535,2410496
795,412.12973,2421760
786,1372.6469,2433024
752,3813.2488,2444288
740,222.06714,2455552
683,157.22684,2466816
649,161.52101,2478080
630,10511.231,2489344
659,401.6664,2500608
638,446.50052,2511872
635,1997.708,2523136
634,256.98352,2534400
666,217.38747,2545664
665,20489.453,2556928
684,404.97885,2568192
704,298.22455,2579456
721,281.26328,2590720
720,292.4492,2601984
684,154.7341,2613248
654,200.82298,2624512
622,328.4894,2635776
616,250.8717,2647040
597,456.41153,2658304
634,229.4636,2669568
668,200.8008,2680832
688,295.42783,2692096
691,148.1417,2703360
707,394.69992,2714624
706,263.6566,2725888
668,228.07841,2737152
643,366.6571,2748416
627,195.97755,2759680
620,160.59497,2770944
607,203.67238,2782208
640,215.43716,2793472
636,235.84514,2804736
641,415.6424,2816000
680,485.4257,2827264
684,277.22485,2838528
679,575.4186,2849792
677,189.25168,2861056
680,369.41125,2872320
681,1633.6332,2883584
677,221.1951,2894848
691,2131.0247,2906112
719,461.02582,2917376
718,537.37244,2928640
723,544.57556,2939904
759,190.62477,2951168
718,267.97485,2962432
668,677.9455,2973696
664,189.95377,2984960
685,240.74747,2996224
691,216.96367,3007488
660,355.6454,3018752
638,4264.219,3030016
671,197.37192,3041280
632,251.73584,3052544
636,366.0351,3063808
623,339.50992,3075072
596,354.03833,3086336
603,236.30194,3097600
608,296.30353,3108864
567,221.52934,3120128
562,244.49088,3131392
550,436.19644,3142656
569,362.78552,3153920
568,254.6297,3165184
579,4466.1094,3176448
625,254.67484,3187712
621,219.35895,3198976
649,270.94943,3210240
687,870.4329,3221504
690,566.49286,3232768
686,296.67505,3244032
651,365.04858,3255296
675,276.9708,3266560
647,145.7447,3277824
636,223.3117,3289088
640,191.1947,3300352
642,1176.6785,3311616
657,202.86649,3322880
660,1101.6633,3334144
690,349.4942,3345408
671,294.6463,3356672
662,327.17786,3367936
638,239.75458,3379200
649,201.63484,3390464
610,648.1015,3401728
595,185.65346,3412992
600,725.7861,3424256
617,1600.5969,3435520
652,1348.3962,3446784
643,331.9179,3458048
665,195.47235,3469312
647,354.95758,3480576
624,198.00166,3491840
613,1479.6068,3503104
610,327.97134,3514368
606,129.14508,3525632
573,993.73346,3536896
574,368.1964,3548160
562,309.75345,3559424
530,331.71808,3570688
553,572.07996,3581952
553,357.03644,3593216
557,325.71338,3604480
562,157.64752,3615744
580,390.73526,3627008
584,350.76273,3638272
562,1013.135,3649536
592,237.46086,3660800
601,881.2945,3672064
590,485.52423,3683328
604,460.78564,3694592
598,346.6074,3705856
630,1404.5599,3717120
616,255.01259,3728384
595,603.2394,3739648
602,247.94104,3750912
590,764.7125,3762176
596,158.90164,3773440
562,201.45198,3784704
573,346.1217,3795968
628,172.39882,3807232
631,1068.9545,3818496
659,278.00317,3829760
676,555.08673,3841024
728,225.6662,3852288
751,185.39569,3863552
741,308.05743,3874816
755,402.74344,3886080
756,5662.1787,3897344
762,1695.9895,3908608
744,297.27606,3919872
710,381.6739,3931136
691,375.82312,3942400
672,280.4991,3953664
616,347.2675,3964928
607,339.7325,3976192
565,187.2313,3987456
567,420.76566,3998720
577,333.75143,4009984
586,830.5,4021248
603,924.3029,4032512
596,203.86627,4043776
620,345.562,4055040
624,594.4397,4066304
615,963.61707,4077568
638,261.46033,4088832
647,1372.8463,4100096
669,353.5764,4111360
634,1325.9464,4122624
633,315.97546,4133888
634,1090.7727,4145152
620,984.1283,4156416
596,194.36621,4167680
603,1261.5117,4178944
602,207.87639,4190208
636,1425.4746,4201472
601,238.33583,4212736
599,236.81966,4224000
596,299.8792,4235264
599,234.52182,4246528
591,318.16528,4257792
588,416.19977,4269056
598,159.12132,4280320
595,357.63123,4291584
585,155.84282,4302848
559,321.79535,4314112
546,396.55096,4325376
544,251.27785,4336640
562,217.80867,4347904
571,201.88783,4359168
571,290.31195,4370432
594,212.92126,4381696
594,347.57962,4392960
611,1445.53,4404224
606,189.3832,4415488
591,456.29697,4426752
613,165.35321,4438016
614,181.98212,4449280
635,330.8033,4460544
619,218.93112,4471808
601,480.03476,4483072
611,187.28064,4494336
639,581.87524,4505600
620,1101.421,4516864
635,279.6343,4528128
653,275.8371,4539392
650,181.27974,4550656
642,323.68018,4561920
636,210.6409,4573184
636,251.69373,4584448
595,1072.6357,4595712
592,150.24771,4606976
600,250.23108,4618240
595,328.707,4629504
578,219.41824,4640768
566,449.88397,4652032
569,353.2958,4663296
547,359.1246,4674560
564,1102.8359,4685824
606,201.77419,4697088
604,615.089,4708352
631,135.08829,4719616
635,197.38339,4730880
650,554.02185,4742144
616,350.13797,4753408
606,240.92758,4764672
588,187.0877,4775936
576,292.80322,4787200
575,2897.1743,4798464
594,299.52115,4809728
586,3963.5469,4820992
597,204.26349,4832256
596,745.7235,4843520
585,696.60034,4854784
578,466.05307,4866048
565,176.69443,4877312
566,185.60406,4888576
550,282.14688,4899840
576,1151.5015,4911104
608,456.58026,4922368
614,330.89847,4933632
607,313.1184,4944896
600,204.69951,4956160
587,360.226,4967424
605,159.2781,4978688
596,683.1156,4989952
